,C18358,C18359,C3659,CPt91,R181.96,R249.97,R265.95,R290.96,H19127,H19137,H19144,H19147,chimp.expressed,rhesus.expressed,human.expressed,chimp.specific,rhesus.specific,human.specific
ENSG00000137710,56,90,262,198,14,0,0,18,149,35,277,181,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000137731,0,0,0,0,0,7,0,0,202,87,42,25,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000137757,74,173,174,41,0,0,0,0,0,0,3,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000137809,37,21,59,834,17,3,0,0,4,3,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000137818,428,1541,1273,1087,0,0,0,0,610,799,805,1639,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000138030,0,18,69,0,179,84,125,181,27,67,74,67,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000138111,18,44,48,13,152,37,140,85,0,0,4,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000138119,464,846,2617,384,0,2,20,0,2,1,6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000138172,102,227,161,40,11,0,0,1,221,121,130,305,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000138316,8,40,5,0,366,226,87,611,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000138606,46,37,54,14,0,0,0,0,63,18,41,143,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000138678,205,419,280,131,50,82,206,111,41,0,6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000138685,0,0,26,0,25,23,14,18,0,7,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000139044,0,13,9,0,0,102,149,849,0,0,6,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000139112,0,0,81,14,12,43,24,41,0,0,5,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000139168,12,26,60,0,14,0,52,0,29,37,54,53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000139329,0,0,0,0,473,42,122,177,1,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000139343,164,483,693,426,0,1,0,0,416,452,565,888,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000139515,14,5,23,63,0,0,0,0,69,31,21,13,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000139970,140,32,199,325,0,2,1,0,0,0,0,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000140006,0,0,7,0,23,0,30,41,8,10,4,6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000140044,45,0,1,0,187,176,337,231,59,13,68,57,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000140280,116,45,137,48,0,0,0,0,20,43,59,47,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000140368,27,166,130,0,1,0,0,0,27,84,50,109,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000140398,172,204,317,184,0,3,0,8,20,116,23,41,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000140660,7,36,104,110,0,22,49,0,87,63,89,91,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000140682,117,170,166,176,1,2,0,0,40,163,149,65,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000140848,64,38,124,112,0,18,0,22,34,24,86,43,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000140876,10,12,22,11,30,0,0,40,11,18,28,26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000140995,18,38,60,40,0,0,15,0,20,21,16,57,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000141540,130,1017,242,155,5,0,0,0,23,25,66,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000141574,36,81,46,0,0,0,0,0,6,0,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000141971,0,1,0,0,13,41,99,28,43,29,116,108,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000142046,65,117,64,75,10,0,0,12,73,16,28,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000142065,7,0,16,29,0,0,25,0,15,0,7,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000142235,0,0,4,24,80,0,52,44,1,0,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000142252,83,246,627,271,0,0,5,0,181,153,219,125,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000142657,0,0,0,0,182,210,87,179,85,76,117,158,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000142694,11,11,7,0,0,0,0,0,10,2,12,7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000142937,0,0,0,0,529,536,382,305,445,716,652,1199,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000143028,147,154,134,466,0,0,5,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000143079,11,45,47,0,0,0,52,17,24,32,30,35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000143443,50,114,51,39,0,0,0,0,16,101,45,34,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000143819,90,178,438,104,0,0,35,18,51,39,98,37,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000144668,316,37,426,158,391,122,160,72,0,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000144713,16,33,64,99,0,0,0,0,23,20,30,70,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000144810,0,1,0,0,920,672,483,846,0,4,8,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000145103,88,211,172,67,1,1,0,0,88,71,64,149,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000145358,0,27,7,66,0,1,0,0,0,0,16,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000145431,28,0,197,577,0,0,2,0,1,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000145476,0,0,23,7,124,125,134,25,26,8,83,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000145592,270,973,1161,525,0,0,0,1,767,969,1121,1363,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000145850,0,0,0,0,0,0,0,0,18,22,70,48,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000145936,10,0,3,219,0,0,0,0,8,14,53,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000145945,0,0,0,0,0,0,0,0,1,10,5,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000146072,0,1,12,0,0,2,1,0,163,249,184,93,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000146856,0,1,22,0,335,279,170,114,20,27,50,75,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000146955,0,0,12,0,50,28,80,16,0,7,7,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000147121,0,0,55,0,156,185,347,38,34,21,53,50,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000147614,6,1,21,0,437,659,2106,219,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000147872,51,141,338,325,0,0,42,1,455,424,585,635,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000148219,52,53,166,714,0,1,1,0,44,26,87,91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000148300,0,79,113,0,70,18,44,35,24,47,54,25,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000148344,16,0,19,48,8,0,0,0,0,3,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000148411,44,135,156,50,0,0,0,0,22,24,25,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000148450,0,0,22,0,0,0,0,0,48,66,211,116,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000148468,14,29,335,319,0,1,0,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000148488,0,4,1,0,136,57,97,266,4,0,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000148671,0,0,0,0,0,1,0,0,29,4,54,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000148834,153,338,516,264,0,1,0,0,352,292,325,603,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000149089,0,96,128,24,180,134,186,102,0,1,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000149257,125,106,133,206,0,0,0,2,204,168,222,159,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000149418,0,53,28,0,796,590,666,188,2,0,1,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
